name,desc
OYO 7691 Kanha Boutique Hotel,"OYO Rooms Gachibowli DLF offers accommodation in Hyderabad. The rooms are equipped with a TV. HITECH CITY is 1.5 km from OYO Rooms Gachibowli DLF, while ISB is 2.5 km away."
FabHotel Prowell Crown,"Ideally situated in the HITEC City district of Hyderabad, FabHotel Prowell Crown is situated 8 km from Banjara Hills, 9 km from ISB and 10 km from City Centre Mall."
FabHotel Arastu Nampally,"Conveniently situated in the Nampally district of Hyderabad, FabHotel Arastu Nampally is located 1.6 km from AP State Archaeology Museum, 2.3 km from Ravindra Bharathi and 3.7 km from City Centre..."
FabHotel Limestone AURA ,"Ideally situated in the Somajiguda district of Hyderabad, FabHotel Limestone AURA is situated 1.7 km from Hussain Sagar Lake, 2.5 km from Jalavihar and 3.2 km from Ravindra Bharathi."
FabHotel RS Grand,"Featuring 3-star accommodation, FabHotel RS Grand is set in Hyderabad, 11 km from ISB and 16 km from City Centre Mall."
OYO 795 Samudra Inn Hotel,"Set in Hyderabad, within 3.8 km of Snow World and 4 km of Jalavihar, OYO 795 Samudra Inn Hotel offers accommodation with a restaurant and free WiFi throughout the property as well as free private..."
Treebo Trip Aditya Harsha ,"Well located in the Gachibowli district of Hyderabad, Treebo Trip Aditya Harsha is located 2.2 km from ISB, 14 km from Banjara Hills and 14 km from Golkonda Fort."
FabHotel Siri Inn Madhapur,"Attractively located in the HITEC City district of Hyderabad, FabHotel Siri Inn Madhapur is situated 8 km from Banjara Hills, 9 km from ISB and 9 km from Golkonda Fort."
Treebo Trend Acsys,"Conveniently located in the HITEC City district of Hyderabad, Treebo Trend Acsys is set 3.5 km from ISB, 11 km from Banjara Hills and 13 km from City Centre Mall."
Treebo Trend VJR,"8 km from Ramoji Film City, Treebo Trend VJR is set in Hyderabad and offers air-conditioned rooms."
FabHotel Park Heights Banjara Hills,"Situated in Hyderabad, within 1.3 km of Banjara Hills and 2.1 km of City Centre Mall, FabHotel Park Heights Banjara Hills features accommodation with a shared lounge and free WiFi throughout the..."
OYO 9936 Delight Inn,"OYO 484 Secunderabad is set in Hyderabad, 3.4 km from Jalavihar. Popular points of interest nearby include Hussain Sagar Lake and Snow World."
FabHotel Royal Residency Lakdikapul,"Set in Hyderabad, FabHotel Royal Residency Lakdikapul offers 3 accommodation with private balconies."
OYO 14671 Sri Sai Regency ,Hotel Sri Sai Regency is 2.3 km from AP State Archaeology Museum and 2.8 km from Snow World. Guests can enjoy the on-site restaurant. Free private parking is available on site.
OYO 9302 Hotel Baseraa Inn,Basera Inn is a contemporary property featuring a 24-hour front desk. The property also offers access facilities for the disabled.
OYO 6749 The Royal Nest,"Well located in the Madhapur district of Hyderabad, OYO 6749 The Royal Nest is located 7 km from Banjara Hills, 9 km from City Centre Mall and 9 km from ISB."
OYO 22681 R Inn,"Situated in Hyderabad, 2.3 km from AP State Archaeology Museum, OYO 22681 R Inn features accommodation with free WiFi and free private parking."
Hotel Sri Simran Park,"Situated conveniently in the Secunderabad district of Hyderabad, Hotel Sri Simran Park is set 3.9 km from Snow World, 5 km from Jalavihar and 6 km from AP State Archaeology Museum."
OYO 16061 Hotel Holly Hock,"Ideally set in the Lakdi Ka Pul district of Hyderabad, OYO 16061 Hotel Holly Hock is situated less than 1 km from AP State Archaeology Museum, a 19-minute walk from Ravindra Bharathi and 3.7 km from..."
OYO 7343 Al Shareef Palace ,"OYO 7343 Al Shareef Palace is located in Hyderabad, within 5 km of AP State Archaeology Museum and 6 km of Nehru Zoological Park. All rooms feature a TV with cable channels and a private bathroom."
OYO 11310 sri supraja pride,"In a prime location in the Abids district of Hyderabad, OYO 11310 sri supraja pride is set 1.9 km from AP State Archaeology Museum, 2.6 km from Ravindra Bharathi and 3.5 km from Charminar."
FabHotel Tirumala Secundrabad Railway Station,"Set in Hyderabad, FabHotel Tirumala Secundrabad Railway Station offers 3-star accommodation with private balconies. This 3-star hotel offers a 24-hour front desk and room service."
FabHotel Prime HiTech City,"Conveniently located in the HITEC City district of Hyderabad, FabHotel Prime HiTech City is set 8 km from Banjara Hills, 8 km from ISB and 10 km from City Centre Mall."
Comfort Inn,"Attractively situated in the Secunderabad district of Hyderabad, Comfort Inn is situated 3.2 km from Snow World, 3.2 km from Jalavihar and 4.4 km from Hussain Sagar Lake."
FabExpress Tourist Plaza ,"Situated in Hyderabad, 5 km from Charminar, FabExpress Tourist Plaza features accommodation with a restaurant, free private parking and a shared lounge."
Treebo Trend Fort Club,"Ideally situated in the Attapur district of Hyderabad, Treebo Trend Fort Club is situated 4.1 km from Golkonda Fort, 5 km from Nehru Zoological Park and 6 km from Mecca Masjid."
Treebo Trend Wood Bridge,Treebo Trend Wood Bridge features air-conditioned rooms with cable flat-screen TV in the Lakdi Ka Pul district of Hyderabad.
Treebo Tryst Metropolis Hyderabad,"Offering a well-equipped business centre and a meeting/banqueting space, Treebo Select Metropolis Hyderabad operates a 24-hour front desk."
FabHotel Mansingh,"Featuring 3-star accommodation, FabHotel Mansingh is located in Hyderabad, 2.9 km from AP State Archaeology Museum and 3.6 km from Ravindra Bharathi."
Treebo Trend Aamantran,"Set in Hyderabad, within 2.5 km of Snow World and 4.3 km of AP State Archaeology Museum, Treebo Trend Aamantran offers accommodation with a restaurant and free WiFi throughout the property as well as..."
Capital O 8752 TreeInn Hytechs,"OYO Premium Hitech Behind Maxcure Hospital is set in the HITEC City district in Hyderabad, 1.2 km from HITECH CITY. All rooms come with a TV."
Treebo Trend Address Inn ,"Well located in the Banjara Hills district of Hyderabad, Treebo Trend Address Inn is located 1.1 km from City Centre Mall, 2.2 km from Banjara Hills and 3.5 km from Ravindra Bharathi."
Treebo Trend Pratz Inn,"Located in Hyderabad, 2.6 km from ISB, Treebo Trend Pratz Inn provides accommodation with free WiFi and free private parking. This 3-star hotel offers room service."
FabHotel Pearl City ,"Located in Hyderabad, 6 km from ISB, FabHotel Pearl City provides accommodation with a restaurant, free private parking and a shared lounge."
Hotel Mint OTM ,"Situated in Hyderabad, 5 km from ISB, Hotel Mint OTM features accommodation with a restaurant, free private parking and a fitness centre."
Treebo Trend Grand Plaza Nampally,"Just 1 km from Hussain Sagar Lake, Treebo Grand Plaza Nampally offers spacious, air-conditioned rooms with cable TV and en suite bathrooms."
OYO 17168 Hz Lodge,"OYO 17168 Hz Lodge is set in Hyderabad, 4.2 km from Nehru Zoological Park and 5 km from AP State Archaeology Museum."
FabHotel Strawberry,"Situated 500 metres from the famous Paradise hotel and 2 km from the Hyderabad city centre, the rooms offer a flat-screen TV with cable channels."
FabHotel Hill View Gachibowli,"Ideally set in the HITEC City district of Hyderabad, FabHotel Hill View Gachibowli is set 3.5 km from ISB, 12 km from Banjara Hills and 14 km from City Centre Mall."
OYO 7976 Dilsukhnagar ,"OYO Rooms Near Dilsukh Nagar Bus Stop is situated in Hyderabad, 6 km from Charminar and 6 km from Mecca Masjid. Each room comes with a TV."
FabHotel Hill View Jubilee Hills ,"Well located in the Jubilee Hills district of Hyderabad, FabHotel Hill View Jubilee Hills is located 6 km from Golkonda Fort, 6 km from Banjara Hills and 8 km from City Centre Mall."
Our Nest Banjara,"Located in Hyderabad, 2.6 km from Banjara Hills, Our Nest Banjara provides accommodation with free WiFi and free private parking."
OYO 14348 Flagship Anu Residency ,"Situated within 5 km of Banjara Hills and 6 km of Golkonda Fort, OYO 14348 Flagship Anu Residency features rooms in Hyderabad."
OYO 22412 Flagship Hotel Sai Prakash,"Conveniently located in the Abids district of Hyderabad, OYO 22412 Flagship Hotel Sai Prakash is set 1 km from AP State Archaeology Museum, 1.7 km from Ravindra Bharathi and 3.8 km from Charminar."
Hotel Sagar Grand,"Featuring a shared lounge, terrace and views of city, Hotel Sagar Grand is located in Hyderabad, 3.9 km from Snow World."
OYO 1410 Country Club Begumpet,"Situated in Hyderabad, 3.5 km from City Centre Mall, OYO 1410 Country Club Begumpet features accommodation with a restaurant, free private parking, a garden and a terrace."
The Art Boutique Hotel,"Featuring free Wifi and private parking, The Art Boutique Hotel offers accommodation in Hyderabad. Guests can enjoy the on-site restaurant."
THE DOWN TOWN Hotel,"Located in Hyderabad, 1.5 km from City Centre Mall, THE DOWN TOWN Hotel features views of the lake."
Taj Mahal Hotel Abids ,"Featuring a restaurant and free parking on site, Taj Mahal Hotel Abids offers rooms in Hyderabad. Nampally Railway station and Birla Mandir are 2 km away. Charminar is 4 km away."
Treebo Trend Spring Leaf,Treebo Trend Spring Leaf features air-conditioned rooms with cable flat-screen TV in the Gachibowli district of Hyderabad.
Falcons Nest Lariviera ,"Ideally located in the Madhapur district of Hyderabad, Falcons Nest Lariviera is set 7 km from Banjara Hills, 9 km from City Centre Mall and 9 km from ISB."
The Central Court ,"The Central Court is located in the heart of Hyderabad City, a 10-minute drive from Hyderabad Railway Station. It offers 4 dining options, free parking and rooms with free internet."
RnB Select Banjara Hills Hotel ,"RnB Select Banjara Hills Hotel is located in the Banjara Hills district in Hyderabad, 700 metres from Banjara Hills and 1 km from City Centre Mall. Guests can enjoy the on-site restaurant."
OYO Townhouse 005 Jubilee Hills,"Featuring free WiFi throughout the property, OYO Townhouse Jubilee Hills is set in Hyderabad, 3.8 km from Banjara Hills. Free private parking is available on site."
"Red Fox Hotel, Hitech city, Hyderabad ","Red Fox Hotel Hyderabad is located in the technology hub of Madhapur. The hotel features a restaurant, fitness centre and rooms with flat-screen TVs. Free private parking is available."
Aditya Park-A Sarovar Portico Hotel ,Aditya Park Hyderabad is located in the heart of Hyderabad's commercial business district.Hotel is located right opposite to the Prime Hospital. Hussain Sagar lake is a very close tourist destination....
Aditya Hometel,"Aditya Hometel is conveniently located at the centre of Ameerpet, 7 km from Nampally Railway Station. It offers a fitness centre, a restaurant and free parking on site."
Holiday Inn Express Hyderabad HITEC City,Holiday Inn Express - Hyderabad Hitec City is a self service hotel with compact rooms. The property is situate in Hyderabad 3.5 km from Hitex Exhibition Center.
Taj Mahal Hotel,Taj Mahal Hotel is situated in Hyderabad and features two restaurants. The property is around 2.5 km from Banjara Hills and 3.6 km from City Centre Mall.
OYO Townhouse 064 Secunderabad,"Ideally set in the Secunderabad district of Hyderabad, OYO Townhouse 064 Secunderabad is set 3.6 km from Snow World, 5 km from Jalavihar and 6 km from Ravindra Bharathi."
Hotel Abode by Shree Venkateshwara ,"Offering an outdoor swimming pool, free Wifi and private parking, Hotel Abode by Shree Venkateshwara is situated 300 metres from Ravindra Bharathi in Hyderabad."
OYO Townhouse 009 Hitech City,"Situated in the heart of HITEC City, Treebo Tara Residency is located in Hyderabad. It operates a 24-hour front desk and offers free Wi-Fi access in the public areas of the property."
OYO 3169 Hotel Lotus Grand,"Set in Hyderabad, 3.8 km from Snow World, OYO 3169 Hotel Lotus Grand offers accommodation with free WiFi and free private parking."
Park Continental Hotel,"3.8 km from City Centre Mall, Park Continental Hotel is set in Hyderabad and features air-conditioned rooms."
SilverKey Executive stays 20035 Srinagar Colony,"Well located in the Srinagar Colony district of Hyderabad, SilverKey Executive stays 20035 Srinagar Colony is located 3.2 km from Banjara Hills, 3.6 km from City Centre Mall and 7 km from Ravindra…"
OYO 24583 Sesha Grand ,"Conveniently located in the Kukatpally district of Hyderabad, OYO 24583 Sesha Grand is set 11 km from ISB, 12 km from Banjara Hills and 13 km from City Centre Mall."
OYO 4035 SPG Grand ,"Located in Hyderabad, 7 km from Charminar, OYO 4035 SPG Grand provides accommodation with a restaurant, free private parking, a bar and a terrace."
Hotel Shree Venkateshwara,"Situated in Hyderabad, less than 1 km from Ravindra Bharathi, Hotel Shree Venkateshwara features accommodation with a restaurant, free private parking and a bar."
FabHotel Gardenia Service Apartments,Gardenia Service Apartments offers accommodation in Hyderabad. Each room at this bed and breakfast is air conditioned and features a TV with cable channels.
Manasarovar - The Fern ,"The eco-friendly Manasarovar - The Fern is located in Secunder?b?d, a 5 minute walk to the US Embassy and 15-minute drive from Hyderabad Railway Station and Lumbini Park."
Nova Pride Hotel,"Set in Hyderabad, 14 km from Charminar, Nova Pride Hotel offers accommodation with a restaurant, free private parking and a shared lounge."
Minerva Grand Kondapur,"Minerva Grand is situated within 3 km of Inorbit Mall, the arts and craft village of Shilparamam and the Hyderabad Botanical Garden."
Taj Tristar ,"Situated in Secunder?b?d City, Taj Tristar is 3 km from Hussain Sagar Lake."
Hotel Swagath Grand Nagole,"Situated in Hyderabad, 2.3 km from Snow World, Hotel Swagath Grand Nagole features accommodation with a restaurant, free private parking and a bar."
Hotel Olympia Inn,"6 km from Nehru Zoological Park, Hotel Olympia Inn is located in Hyderabad and provides air-conditioned rooms."
Minerva Grand Secunderabad,"Centrally located in Secunderabad’s commercial district, Minerva Grand Hotel is also just a 20-minute drive from the famous Charminar Mosque."
Swagath Grand Suchitra,Swagath Grand Suchitra offers accommodation in Hyderabad. Guests can enjoy the on-site restaurant. All rooms include a flat-screen TV with cable channels.
The Purple Leaf Hotels,The Purple Leaf Hotels is located just 3 km from Secunderabad Railway Station and features a 24-hour front desk and free parking on site. The hotel is located 12 km from the historic Charminar.
Hotel Serenity La Vista ,"Offering a restaurant and a fitness centre, Hotel Serenity La Vista is located in Hitech City. Free Wi-Fi access is available. The property is located 1 km from Durgam Chruvu Lake."
Tabla Pride Hotels ,"Situated in the heart of the posh Banjara Hills, Tabla Pride Hotels offers a 24-hour front desk and free Wi-Fi in all areas of the property."
Hotel Mint Ebony Banjara Hills,"Hotel Mint Ebony is located near business and entertainment areas in Hyderabad. Situated 6 km from the IT Hub, it features a 24-hour business centre, free parking, and free Wi-Fi."
Hotel Vaishnaoi,"Offering a multi-cuisine restaurant, Hotel Vaishnaoi is located 500 metres away from the Kachiguda Railway Station. Free WiFi access is available in the public areas of the property."
The Manohar Hyderabad,"Located next to the Begumpet Airport Exit Road, The Manohar Hyderabad is 30 km from Hyderabad International Airport. This 5-star accommodation offers free Wi-Fi, an outdoor pool and fitness centre."
Ohris Baseraa ,"Located in the heart of Hyderabad, Hotel Baseraa is close to the Secunderabad railway station and has an easy connect with the iconic locations in the city, including hospitals, malls, movie theatres..."
Novotel Hyderabad Airport ,"Located minutes from Rajiv Gandhi International Airport, Novotel Hyderabad Airport offers luxurious accommodation and free Wi-Fi."
Hyatt Place Hyderabad/Banjara Hills ,"Hyatt Place Hyderabad/Banjara Hills features a restaurant, outdoor pool, fitness centre, a bar and shared lounge in Hyderabad. Featuring family rooms, this property also provides guests with a..."
Novotel Hyderabad Convention Center,"Located in the business hub of Hyderabad, HITEC City, this 5-star hotel is connected to Hyderabad International Convention Centre."
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,"Just 1 km from GVK One, Hyderabad’s largest shopping mall, the 5-star Radisson Blu Plaza Hotel boasts 3 dining options and an outdoor swimming pool. Guests enjoy free Wi-Fi and free parking."
Lemon Tree Premier Hitec City Hyderabad,"Hitec City’s Lemon Tree Hotel, Hyderabad, features rooms with DVD player and flat-screen TV."
Taj Deccan ,"Situated in Banjara Hills, Taj Deccan features an outdoor swimming pool and a fitness centre. Offering 2 dining options, it also provides spacious rooms with Wi-Fi access."
The Westin Hyderabad Mindspace ,"Situated in the heart of Raheja Mindspace IT Park, The Westin Hyderabad offers luxurious rooms equipped with 37-inch plasma TV with DVD player."
"Lemon Tree Hotel, Gachibowli, Hyderabad","Offering an outdoor swimming pool, a spa and wellness centre and a fitness centre, Lemon Tree Hotel, GachiBowli, Hyderabad is located in financial district of Gachibowli."
Park Hyatt Hyderabad,"Situated in Banjara Hills, Park Hyatt Hyderabad boasts 4 dining options, a spa and a fitness centre. Its luxurious rooms feature a Nespresso machine and a walk-in closet."
Taj Banjara,"Set on Banjara Hills overlooking a lake, exclusive Taj Banjara features an outdoor pool, gym and 4 dining options. It is a 10-minute drive from the business district."
Fortune Park Vallabha - Member ITC Hotel,"Fortune Park Vallabha is located in Banjara Hills, Hyderabad, 6 km from Nampally railway station. It offers the convenience of 2-hours of free WiFi usage and 2 dining options."
Avasa Hotel ,"The 15-storey Hotel Avasa is a modern 5-star property offering luxurious accommodation in Hyderabad. It has 4 dining options, a health club and a tour desk."
Taj Krishna,"Taj Hotels & Resorts have a history of over 100 years, and as a part of that legacy, Taj Krishna features newly renovated rooms, signature Indian and Chinese specialty restaurants, a spa center, a gym..."
"ITC Kohenur, a Luxury Collection Hotel,","Featuring a fitness centre, bar and views of lake, ITC Kohenur, a Luxury Collection Hotel, Hyderabad is situated in Hyderabad, 7 km from ISB."
"Lemon Tree Hotel, Banjara Hills, Hyderabad","Providing free WiFi, Lemon Tree Hotel, Banjara Hills, Hyderabad is located in Hyderabad, a 4-minute walk from City Centre Mall and a 15-minute walk from Banjara Hills."
"Trident, Hyderabad","Featuring an outdoor swimming pool, spa and wellness centre and fitness centre, Trident, Hyderabad is close to Special Economic Zone. It has a well-equipped business centre and meeting space."
Daspalla Hyderabad,"Daspalla offers rooms with Hyderabad city skyline views and free Wi-Fi. Featuring a fitness centre and a restaurant overlooking Jubilee Hills, it provides free parking."
Marigold By GreenPark ,"Marigold By Greenpark is a 5-star property in Hyderabad, less than 3 km from Banjara Hills.The property boasts 2 dining options, terrace pool, spa and fitness gym."
Hotel Deccan Serai ,"Offering a barbecue and views of the city, Hotel Deccan Serai is located in Hyderabad in the Telangana Region, 2.7 km from HITECH CITY. Every room at this hotel is air conditioned and has a cable TV."
Hyatt Hyderabad Gachibowli,"Featuring a spa, swimming pool and a garden, the Hyatt Hyderabad Gachibowli is a luxurious pet-friendly property with a 24-hour front desk and 3 dining options."
Hyderabad Marriott Hotel & Convention,"Hyderabad Marriott Hotel & Convention Centre is a luxury 5-star hotel, centrally located in the heart of Hyderabad, overlooking the famous Hussain Sagar Lake."
Marriott Executive Apartments Hyderabad,"Situated in Hyderabad, Marriott Executive Apartments Hyderabad offers 5-star accommodation with a garden, a terrace and a shared lounge."
"Vivanta Hyderabad, Begumpet ","This urban icon enjoys a central location between Hyderabad and Secunderabad, a short 3 km from Secundrabad Railway Station."
Taj Falaknuma Palace ,"Elevated 2000 feet above Hyderabad, this luxurious 5-star property features a blend of colonial and Indian designs."
Ellaa Hotel Gachibowli ,"Ellaa Hotel Gachibowli is a luxurious 5-star hotel located in the IT Hub of Hyderabad, 14 km from the city centre. Offering free parking, it has a spa and an indoor pool."
Green Park Hyderabad ,"Green Park Hyderabad offers rooms with a flat-screen TV and 24-hour room service. The hotel features 4 dining options, a fitness centre and free Wi-Fi. Free daily housekeeping is also available."
Radisson Hyderabad Hitec City ,"Located in Hyderabad, Radisson Hyderabad Hitec City offers 5-star accommodation. The hotel features a well-equipped fitness center and a swimming pool."
Mercure Hyderabad KCP Banjara Hills- An AccorHotels brand,"Centrally located in Banjara Hills, Mercure Hyderabad KCP Banjara Hills- An AccorHotels brand offers spacious rooms with city and lake views."
Sheraton Hyderabad Hotel,"Offering an outdoor swimming pool, fitness centre and a spa centre, Sheraton Hyderabad Hotel is set in Hyderabad in the Telangana Region. Guests can enjoy 2 dining options and a bar."
ITC Kakatiya Hyderabad A Luxury Collection,"ITC Kakatiya Hyderabad, A Luxury Collection Hotel offers comfortable and cosy accommodation in Hyderabad. The property boasts 3 dining options, outdoor pool and a spa and wellness centre."
Best Western Ashoka,"Located in the heart of the city of Hyderabad, Best Western Ashoka provides beautiful, modern accommodation with en suite bathrooms."
Courtyard by Marriott Hyderabad ,"Located in the city centre, Courtyard Mariott Hyderabad offers partial views of the famous Hussain Sagar Lake. It features free parking, a restaurant, spa and a fitness centre."
The Park Hyderabad,"The Park Hotel is located in the business, and entertainment area, offering spacious accommodation with views of the Hussain Sagar Lake."
Hotel Comfotel ,"Situated in Hyderabad, 1.3 km from City Centre Mall, Hotel Comfotel features views of the city."
Siesta Hitech ,"Offering 3 dining options and a fitness centre, Siesta Hitech is located in Hyderabad. Free WiFi access is available."
The Golkonda Hotel ,"Golkonda Hotel Hyderabad is located at Masab Tank in Banjara Hills. It offers free Wi-Fi and parking and has a restaurant, bar, outdoor pool, fitness centre and a 24-hour front desk."
Royalton Hyderabad Abids,"Boutique accommodation is available at Royalton Hyderabad Abids, centrally located along Chirag Ali Lane in City Centre Abids."
ibis Hyderabad Hitec City - An AccorHotels Brand ,Ibis Hyderabad Hitech City is located in Hitec City. Free WiFi access is available throughout the property. Every room is equipped with a flat-screen satellite TV and a tea/coffee maker.
juSTa Hyderabad,"Overlooking the scenic Hussain Sagar Lake, Justa The Residence offers modern rooms with flat-screen TVs in Hyderabad’s city centre. The hotel features a rooftop restaurant, shops and free parking."
Hotel Quality Inn Residency ,"Located just 4 km from the ancient Charminar, Hotel Quality Inn Residency offers a 24-hour front desk and free Wi-Fi throughout the property."
OYO Flagship 22712 Raichandani ,"Attractively situated in the Dilsukhnagar district of Hyderabad, OYO Flagship 22712 Raichandani is situated 7 km from Charminar, 8 km from Mecca Masjid and 8 km from Chowmahalla Palace."
The Icon Apartments,"Well set in the HITEC City district of Hyderabad, The Icon Apartments is located 8 km from Banjara Hills, 8 km from ISB and 10 km from Golkonda Fort."
Hotel Srinivasa Central,"OYO 9627 Hotel Srinivasa Central is located in Hyderabad, within 900 metres of Ravindra Bharathi and AP State Archaeology Museum. The property is set 2 km from City Centre Mall."
OYO 23542 Flagship Hotel Shyam ,"Located in Hyderabad, 3.5 km from Snow World, OYO 23542 Flagship Hotel Shyam provides accommodation with free WiFi and free private parking."
